what does [Grégoire Colin] appear in	what doe AD_HOC appear in	what does AD_HOC appear in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Grégoire Colin') RETURN DISTINCT m.name
[Joe Thomas] appears in which movies	AD_HOC appear in which NODE_LABEL_ENTITIES	AD_HOC appears in which movies	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Joe Thomas') RETURN DISTINCT m.name
what films did [Michelle Trachtenberg] star in	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES in	what films did AD_HOC star in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Michelle Trachtenberg') RETURN DISTINCT m.name
what does [Helen Mack] star in	what doe AD_HOC NODE_PROPERTY_ENTITIES in	what does AD_HOC star in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Helen Mack') RETURN DISTINCT m.name
what films did [Shahid Kapoor] act in	what NODE_LABEL_ENTITIES did AD_HOC act in	what films did AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Shahid Kapoor') RETURN DISTINCT m.name
what films does [Paresh Rawal] appear in	what NODE_LABEL_ENTITIES doe AD_HOC appear in	what films does AD_HOC appear in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Paresh Rawal') RETURN DISTINCT m.name
what does [Jeremy Piven] act in	what doe AD_HOC act in	what does AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Jeremy Piven') RETURN DISTINCT m.name
what movies was [Chris O'Donnell] an actor in	what NODE_LABEL_ENTITIES was AD_HOC an NODE_LABEL_ENTITIES in	what movies was AD_HOC an actor in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Chris O\'Donnell') RETURN DISTINCT m.name
what movies did [Darren McGavin] star in	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES in	what movies did AD_HOC star in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Darren McGavin') RETURN DISTINCT m.name
what movies did [Martín Adjemián] act in	what NODE_LABEL_ENTITIES did AD_HOC act in	what movies did AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Martín Adjemián') RETURN DISTINCT m.name
