what does [Grégoire Colin] appear in	what doe AD_HOC appear in	what does AD_HOC appear in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Grégoire Colin') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Grégoire Colin') RETURN DISTINCT m.name
[Joe Thomas] appears in which movies	AD_HOC appear in which NODE_LABEL_ENTITIES	AD_HOC appears in which Movie	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Joe Thomas') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Joe Thomas') RETURN DISTINCT m.name
what films did [Michelle Trachtenberg] star in	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES in	what Movie did AD_HOC starred_actors in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Michelle Trachtenberg') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Michelle Trachtenberg') RETURN DISTINCT m.name
what does [Helen Mack] star in	what doe AD_HOC NODE_PROPERTY_ENTITIES in	what does AD_HOC starred_actors in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Helen Mack') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Helen Mack') RETURN DISTINCT m.name
what films did [Shahid Kapoor] act in	what NODE_LABEL_ENTITIES did AD_HOC act in	what Movie did AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Shahid Kapoor') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Shahid Kapoor') RETURN DISTINCT m.name
what films does [Paresh Rawal] appear in	what NODE_LABEL_ENTITIES doe AD_HOC appear in	what Movie does AD_HOC appear in	MATCH (m:Movie)-[r]-(a:Actor) WHERE toLower(a.name) = toLower('Paresh Rawal') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(a:Actor) WHERE toLower(a.name) = toLower('Paresh Rawal') RETURN DISTINCT m.name
what does [Jeremy Piven] act in	what doe AD_HOC act in	what does AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Jeremy Piven') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Jeremy Piven') RETURN DISTINCT m.name
what movies was [Chris O'Donnell] an actor in	what NODE_LABEL_ENTITIES was AD_HOC an NODE_LABEL_ENTITIES in	what Movie was AD_HOC an Actor in	MATCH (m:Movie)-[r]-(a:Actor) WHERE toLower(a.name) = toLower("Chris O'Donnell") RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(a:Actor) WHERE toLower(a.name) = toLower("Chris O'Donnell") RETURN DISTINCT m.name
what movies did [Darren McGavin] star in	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES in	what Movie did AD_HOC starred_actors in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Darren McGavin') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Darren McGavin') RETURN DISTINCT m.name
what movies did [Martín Adjemián] act in	what NODE_LABEL_ENTITIES did AD_HOC act in	what Movie did AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Martín Adjemián') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Martín Adjemián') RETURN DISTINCT m.name
which movie was [John Pasquin] the director for	which NODE_LABEL_ENTITIES was AD_HOC the NODE_LABEL_ENTITIES for	which Movie was AD_HOC the Director for	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('John Pasquin') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('John Pasquin') RETURN DISTINCT m.name
what was [Rowland Brown] the director of	what was AD_HOC the NODE_LABEL_ENTITIES of	what was AD_HOC the Director of	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Rowland Brown') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Rowland Brown') RETURN DISTINCT m.name
which movies did [Aram Avakian] direct	which NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	which Movie did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Aram Avakian') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Aram Avakian') RETURN DISTINCT m.name
which films did [Lloyd Ingraham] direct	which NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	which Movie did AD_HOC directed_by	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('Lloyd Ingraham') RETURN DISTINCT m.name	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('Lloyd Ingraham') RETURN DISTINCT m.name
what films did [Israel Horovitz] direct	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	what Movie did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Israel Horovitz') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Israel Horovitz') RETURN DISTINCT m.name
