what does [Grégoire Colin] appear in	what doe AD_HOC appear in	what does AD_HOC appear in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Grégoire Colin') RETURN DISTINCT m.name
[Joe Thomas] appears in which movies	AD_HOC appear in which NODE_LABEL_ENTITIES	AD_HOC appears in which Movie	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Joe Thomas') RETURN DISTINCT m.name
what films did [Michelle Trachtenberg] star in	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES in	what Movie did AD_HOC starred_actors in	MATCH (m:Movie) WHERE ANY(actor IN m.starred_actors WHERE toLower(actor) = toLower('AD_HOC')) RETURN DISTINCT m.name	MATCH (m:Movie) WHERE ANY(actor IN m.starred_actors WHERE toLower(actor) = toLower('Michelle Trachtenberg')) RETURN DISTINCT m.name
what does [Helen Mack] star in	what doe AD_HOC NODE_PROPERTY_ENTITIES in	what does AD_HOC starred_actors in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Helen Mack') RETURN DISTINCT m.name
what films did [Shahid Kapoor] act in	what NODE_LABEL_ENTITIES did AD_HOC act in	what Movie did AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Shahid Kapoor') RETURN DISTINCT m.name
what films does [Paresh Rawal] appear in	what NODE_LABEL_ENTITIES doe AD_HOC appear in	what Movie does AD_HOC appear in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Paresh Rawal') RETURN DISTINCT m.name
what does [Jeremy Piven] act in	what doe AD_HOC act in	what does AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Jeremy Piven') RETURN DISTINCT m.name
what movies was [Chris O'Donnell] an actor in	what NODE_LABEL_ENTITIES was AD_HOC an NODE_LABEL_ENTITIES in	what Movie was AD_HOC an Actor in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Chris O\'Donnell') RETURN DISTINCT m.name
what movies did [Darren McGavin] star in	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES in	what Movie did AD_HOC starred_actors in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Darren McGavin') RETURN DISTINCT m.name
what movies did [Martín Adjemián] act in	what NODE_LABEL_ENTITIES did AD_HOC act in	what Movie did AD_HOC act in	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (a:Actor)-[r]-(m:Movie) WHERE toLower(a.name) = toLower('Martín Adjemián') RETURN DISTINCT m.name
which movie was [John Pasquin] the director for	which NODE_LABEL_ENTITIES was AD_HOC the NODE_LABEL_ENTITIES for	which Movie was AD_HOC the Director for	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('John Pasquin') RETURN DISTINCT m.name
what was [Rowland Brown] the director of	what was AD_HOC the NODE_LABEL_ENTITIES of	what was AD_HOC the Director of	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('Rowland Brown') RETURN DISTINCT m.name
which movies did [Aram Avakian] direct	which NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	which Movie did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Aram Avakian') RETURN DISTINCT m.name
which films did [Lloyd Ingraham] direct	which NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	which Movie did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Lloyd Ingraham') RETURN DISTINCT m.name
what films did [Israel Horovitz] direct	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	what Movie did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Israel Horovitz') RETURN DISTINCT m.name
can you name a film directed by [Paul Wendkos]	can you NODE_PROPERTY_ENTITIES a NODE_LABEL_ENTITIES NODE_PROPERTY_ENTITIES by AD_HOC	can you name a Movie directed_by by AD_HOC	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Paul Wendkos') RETURN DISTINCT m.name
[Zack Snyder] was the director of which films	AD_HOC was the NODE_LABEL_ENTITIES of which NODE_LABEL_ENTITIES	AD_HOC was the Director of which Movie	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('Zack Snyder') RETURN DISTINCT m.name
[James B. Clark] was the director on which movies	AD_HOC was the NODE_LABEL_ENTITIES on which NODE_LABEL_ENTITIES	AD_HOC was the Director on which Movie	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('James B. Clark') RETURN DISTINCT m.name
[Robert Resnikoff] was the director of which movies	AD_HOC was the NODE_LABEL_ENTITIES of which NODE_LABEL_ENTITIES	AD_HOC was the Director of which Movie	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('Robert Resnikoff') RETURN DISTINCT m.name
what is a film directed by [Eddie Murphy]	what is a NODE_LABEL_ENTITIES NODE_PROPERTY_ENTITIES by AD_HOC	what is a Movie directed_by by AD_HOC	MATCH (m:Movie) WHERE any(x IN coalesce(m.directed_by, []) WHERE toLower(x) = toLower('AD_HOC')) RETURN DISTINCT m.name	MATCH (m:Movie) WHERE any(x IN coalesce(m.directed_by, []) WHERE toLower(x) = toLower('Eddie Murphy')) RETURN DISTINCT m.name
what movies did [Albert Zugsmith] direct	what NODE_LABEL_ENTITIES did AD_HOC NODE_PROPERTY_ENTITIES	what Movie did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Albert Zugsmith') RETURN DISTINCT m.name
what did [Garth Jennings] direct	what did AD_HOC NODE_PROPERTY_ENTITIES	what did AD_HOC directed_by	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(m.name) = toLower('AD_HOC') RETURN DISTINCT d.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(m.name) = toLower('Garth Jennings') RETURN DISTINCT d.name
[Joël Séria] directed which movies	AD_HOC NODE_PROPERTY_ENTITIES which NODE_LABEL_ENTITIES	AD_HOC directed_by which Movie	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (m:Movie)-[r]-(d:Director) WHERE toLower(d.name) = toLower('Joël Séria') RETURN DISTINCT m.name
[Lisa Langseth] directed which films	AD_HOC NODE_PROPERTY_ENTITIES which NODE_LABEL_ENTITIES	AD_HOC directed_by which Movie	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('AD_HOC') RETURN DISTINCT m.name	MATCH (d:Director)-[r]-(m:Movie) WHERE toLower(d.name) = toLower('Lisa Langseth') RETURN DISTINCT m.name
who acted in [First Snow]	who act in AD_HOC	who acted in AD_HOC	MATCH (m:Movie)-[r]-(a:Actor) WHERE toLower(m.name) = toLower('AD_HOC') RETURN DISTINCT a.name	MATCH (m:Movie)-[r]-(a:Actor) WHERE toLower(m.name) = toLower('First Snow') RETURN DISTINCT a.name
